Time,Node_1_Power_Flow,Node_1_Voltage,Node_2_Power_Flow,Node_2_Voltage,Node_3_Power_Flow,Node_3_Voltage,Node_4_Power_Flow,Node_4_Voltage
0,66.30431764672106,225.6277811720415,41.5953479375614,235.22425146069585,48.447575452914215,231.52988832420294,44.31443221672047,223.14145787249842
1,35.24068164627775,229.51316644541208,59.638680294113,238.8727333835547,78.28693577532664,233.8817448506882,44.39533926500329,226.80815391421012
2,70.49517793618395,221.4687505590717,61.162307969228394,226.221404888442,55.0612648013318,231.3375117841723,57.45857876989324,223.55054760065286
3,78.74220842566599,239.6062363014077,26.31704662435367,232.7223453932963,99.75601220096983,226.13608106144275,19.371956161987924,226.60149891583117
4,10.356697631675516,235.2954320138435,21.297721956716607,233.13149219932154,86.8628740246132,226.5974620399275,86.65389493908219,222.13893378296137
5,44.33488452680612,226.13993171344862,55.3929840812847,221.75102098089206,21.684813690873504,238.04006705127736,42.310619105201255,233.73896270595506
6,74.4286019444911,239.42582694570007,36.82853691890613,239.64304270357937,40.98405802103954,236.0540541026869,66.18505547302821,230.1149087993581
7,12.558023265243257,220.10369774310374,87.81848842610086,225.37243857710524,66.07339764382405,238.8459900212431,23.60024635459582,228.82240805327456
8,18.219125748743494,235.8410550989293,69.97191490697818,232.67997109505467,23.645396318914525,222.4708075022893,44.21596745356708,226.7146831592786
9,13.598993054881259,238.7318031241565,81.79442227457095,230.8199687498185,59.50196838200863,227.9502191495799,87.80324535798954,224.31398130058093
10,96.47619682775573,234.23223304943548,49.93580805373985,228.58327501820506,30.821096102322898,221.09782014458568,23.270204295304218,237.8391954820902
11,76.08377041656968,233.4088530899392,40.35115501896887,227.31891564275864,97.35826321967102,238.993450283126,16.739001780214746,236.65284228712125
12,96.6771094133833,235.99500091132876,96.20966035128455,231.8840965887742,88.1569902892954,228.4987176885939,92.26271803282364,232.02608482762773
13,6.990235146451507,238.64975904108053,2.0787080294744076,236.7770099847365,77.10219250826658,224.54771333902175,16.420678455656045,236.99096706667586
14,47.354801089691655,232.34101145078372,37.798037622049186,221.0799499083719,38.58269205890949,221.0967390126554,72.22765319296688,223.5026351600327
15,40.768064954398,239.1239338759582,33.25253988787309,224.23312799143633,72.11701410015156,232.9791656709508,46.76968495214031,235.78055827505682
16,57.82807125901549,235.6113161355057,50.47087913480116,220.9906405216446,14.855122593694192,230.84520496997683,80.82550762970497,236.06265661996915
17,25.25975546142454,220.50060330089295,15.899800027310128,224.58728282722083,6.829818433897339,231.60656992388905,64.1786555958879,229.99253095645074
18,23.87992102546327,223.6489418750566,6.130318643998289,237.53428182218542,3.1024340055351374,227.67202372764694,24.98095919360589,226.15398247697624
19,46.532414719314716,228.30841159655017,85.30858244905211,232.92216484220444,59.16212887893258,234.50816800283445,94.09399988266807,238.3872954891775
20,35.1063973958475,237.07871765874864,88.4344373462826,225.2187979907953,59.72456418609574,225.3668944863693,82.59416351389959,236.9372738076683
21,0.1146667376826116,225.1276679888204,73.21719166938439,238.826723466521,5.378637702747458,225.37657107749206,32.38934993300847,222.98466319744975
22,98.21808624445782,230.36608979409147,33.73173482846119,238.361778766464,79.08365605708265,222.83046275203472,62.20888720279301,237.64954068450584
23,59.279858412351,231.1431710773947,68.49353178701085,236.55312615221848,94.14786388909347,237.96330729048756,49.42091013298765,223.70929093206584
